,duplicates,origin
0,Maria,DK
1,Sara,DK*
2,Mona,DK
3,Sarah,DK*
4,Laila,DK*
5,Susan,DK
6,Nadia,DK
7,Sofia,DK
8,Hanna,DK
9,Naja,DK
10,Nadja,DK
11,Jasmin,M*
12,Lina,DK
13,Ali,M
14,Fatima,M
15,Fatma,M
16,May,DK
17,Yasmin,M
18,Leila,M
19,Jul,DK
20,Miriam,M
21,Mariam,M
22,Bibi,M
23,Hassan,M
24,Ahmad,M
25,Amina,M
26,Zahra,M
27,Mina,M
28,Jan,DK
29,Ali,M
30,Mohammad,M
31,Mohamed,M
32,Adam,DK
33,Ahmad,M
34,Elias,DK
35,Ahmed,M
36,Hassan,M
37,Ibrahim,M
38,Mohamad,M
39,Mohammed,M
40,Mustafa,M
41,Jul,DK
42,Mehmet,M
43,Hussein,M
44,Mahmoud,M
45,Abdul,M
46,Omar,M
47,Malik,M
48,Osman,M
49,Abdi,M
50,Hasan,M
51,Said,M
52,Ismail,M
53,Ahmet,M
54,Khaled,M
55,Ben,M*
56,Yusuf,M
57,Adnan,M
58,Abdullah,M
59,Sami,M
60,Samir,M
61,Amir,M
62,Muhammad,M
63,Abbas,M
64,Bilal,M
65,Jamal,M
66,Jamal,M
67,Muhammed,M
68,Karim,M
69,Youssef,M
70,Hamid,M
71,Abdullahi,M
72,Hussain,M
73,Saleh,M
74,Ali,M
75,Ahmed,M
76,Mohamed,M
77,Hassan,M
78,Hassan,M
79,Ahmad,M
80,Khan,M
81,Hussain,M
82,Hussein,M
83,Ibrahim,M
84,Mohammad,M
85,Abdi,M
86,Iqbal,M
87,Farah,M
88,Mohamad,M
89,Begum,M
90,Akhtar,M
91,Ismail,M
92,Saleh,M
93,Omar,M
94,Shah,M
95,Kaiser,M
96,Gad,DK
97,Jama,M
98,Malik,M
